parcel_index,residence_time_s,source
1,0.7277077098038873,dpm_summary_beta_fit
2,0.7277106234116619,dpm_summary_beta_fit
3,0.7277135370194365,dpm_summary_beta_fit
4,0.7277164506272111,dpm_summary_beta_fit
5,0.7277193642349857,dpm_summary_beta_fit
6,0.7277222778427603,dpm_summary_beta_fit
7,0.727725191450535,dpm_summary_beta_fit
8,0.7277281050583096,dpm_summary_beta_fit
9,0.7277310186660843,dpm_summary_beta_fit
10,0.7277339322738589,dpm_summary_beta_fit
11,0.7277368458816335,dpm_summary_beta_fit
12,0.727744267246882,dpm_summary_beta_fit
13,0.7277530427318519,dpm_summary_beta_fit
14,0.7277618182168218,dpm_summary_beta_fit
15,0.7277714551098422,dpm_summary_beta_fit
16,0.7277844097000683,dpm_summary_beta_fit
17,0.7277973642902944,dpm_summary_beta_fit
18,0.7278132465343675,dpm_summary_beta_fit
19,0.727829894766021,dpm_summary_beta_fit
20,0.7278496702287716,dpm_summary_beta_fit
21,0.7278708895612567,dpm_summary_beta_fit
22,0.7278942324478835,dpm_summary_beta_fit
23,0.727920618045693,dpm_summary_beta_fit
24,0.7279494703611019,dpm_summary_beta_fit
25,0.7279810305899791,dpm_summary_beta_fit
26,0.7280154923231379,dpm_summary_beta_fit
27,0.728053188814673,dpm_summary_beta_fit
28,0.7280944062674838,dpm_summary_beta_fit
29,0.7281389216542319,dpm_summary_beta_fit
30,0.7281873579845558,dpm_summary_beta_fit
31,0.7282395492034804,dpm_summary_beta_fit
32,0.7282960995969642,dpm_summary_beta_fit
33,0.7283570236103043,dpm_summary_beta_fit
34,0.7284225191317779,dpm_summary_beta_fit
35,0.7284929405407808,dpm_summary_beta_fit
36,0.728568490294259,dpm_summary_beta_fit
37,0.7286492979718074,dpm_summary_beta_fit
38,0.7287357371214431,dpm_summary_beta_fit
39,0.7288280819402995,dpm_summary_beta_fit
40,0.7289265239569085,dpm_summary_beta_fit
41,0.7290314582468563,dpm_summary_beta_fit
42,0.7291429687494596,dpm_summary_beta_fit
43,0.729261540645198,dpm_summary_beta_fit
44,0.7293873394734705,dpm_summary_beta_fit
45,0.7295206767932702,dpm_summary_beta_fit
46,0.7296619594407607,dpm_summary_beta_fit
47,0.7298113767051404,dpm_summary_beta_fit
48,0.729969303856532,dpm_summary_beta_fit
49,0.7301360510214583,dpm_summary_beta_fit
50,0.7303119646763254,dpm_summary_beta_fit
51,0.7304973686262998,dpm_summary_beta_fit
52,0.730692624450928,dpm_summary_beta_fit
53,0.7308980456550832,dpm_summary_beta_fit
54,0.731114030423707,dpm_summary_beta_fit
55,0.7313409558463346,dpm_summary_beta_fit
56,0.7315791391699992,dpm_summary_beta_fit
57,0.7318289922583279,dpm_summary_beta_fit
58,0.7320908950888778,dpm_summary_beta_fit
59,0.7323652144003723,dpm_summary_beta_fit
60,0.7326523909687136,dpm_summary_beta_fit
61,0.7329527909704696,dpm_summary_beta_fit
62,0.7332668335084614,dpm_summary_beta_fit
63,0.733594944620182,dpm_summary_beta_fit
64,0.7339375314118726,dpm_summary_beta_fit
65,0.7342950302214059,dpm_summary_beta_fit
66,0.7346678784875962,dpm_summary_beta_fit
67,0.7350565065504889,dpm_summary_beta_fit
68,0.7354613769630941,dpm_summary_beta_fit
69,0.7358829504224893,dpm_summary_beta_fit
70,0.7363216654485392,dpm_summary_beta_fit
71,0.7367779944957359,dpm_summary_beta_fit
72,0.7372524244958422,dpm_summary_beta_fit
73,0.7377454173498387,dpm_summary_beta_fit
74,0.7382574787666583,dpm_summary_beta_fit
75,0.7387890832980402,dpm_summary_beta_fit
76,0.7393407304127269,dpm_summary_beta_fit
77,0.7399129382271565,dpm_summary_beta_fit
78,0.7405062029833329,dpm_summary_beta_fit
79,0.7411210405359265,dpm_summary_beta_fit
80,0.741757988472522,dpm_summary_beta_fit
81,0.7424175591773547,dpm_summary_beta_fit
82,0.7431002911471647,dpm_summary_beta_fit
83,0.7438067209515485,dpm_summary_beta_fit
84,0.744537405982459,dpm_summary_beta_fit
85,0.7452928858366726,dpm_summary_beta_fit
86,0.7460737198424378,dpm_summary_beta_fit
87,0.746880469973603,dpm_summary_beta_fit
88,0.747713704033764,dpm_summary_beta_fit
89,0.748574001245267,dpm_summary_beta_fit
90,0.749461930259182,dpm_summary_beta_fit
91,0.7503780808375157,dpm_summary_beta_fit
92,0.7513230429185406,dpm_summary_beta_fit
93,0.7522974065570568,dpm_summary_beta_fit
94,0.7533017716321885,dpm_summary_beta_fit
95,0.7543367423148334,dpm_summary_beta_fit
96,0.7554029272258856,dpm_summary_beta_fit
97,0.7565009394456644,dpm_summary_beta_fit
98,0.7576313992679276,dpm_summary_beta_fit
99,0.7587949274950515,dpm_summary_beta_fit
100,0.7599921488871678,dpm_summary_beta_fit
101,0.761223692960845,dpm_summary_beta_fit
102,0.7624902023210159,dpm_summary_beta_fit
103,0.763792307043081,dpm_summary_beta_fit
104,0.7651306536906869,dpm_summary_beta_fit
105,0.766505889770186,dpm_summary_beta_fit
106,0.7679186645392306,dpm_summary_beta_fit
107,0.7693696310785256,dpm_summary_beta_fit
108,0.7708594436330406,dpm_summary_beta_fit
109,0.7723887639682662,dpm_summary_beta_fit
110,0.773958255666617,dpm_summary_beta_fit
111,0.7755685810780908,dpm_summary_beta_fit
112,0.7772204103787089,dpm_summary_beta_fit
113,0.7789144113624756,dpm_summary_beta_fit
114,0.7806512586694188,dpm_summary_beta_fit
115,0.7824316244300233,dpm_summary_beta_fit
116,0.7842561854203619,dpm_summary_beta_fit
117,0.7861256190824397,dpm_summary_beta_fit
118,0.7880406034870215,dpm_summary_beta_fit
119,0.7900018193979012,dpm_summary_beta_fit
120,0.7920099464886113,dpm_summary_beta_fit
121,0.7940656666130635,dpm_summary_beta_fit
122,0.7961696606934306,dpm_summary_beta_fit
123,0.7983226110520455,dpm_summary_beta_fit
124,0.800525197315178,dpm_summary_beta_fit
125,0.8027781031089731,dpm_summary_beta_fit
126,0.8050820074061922,dpm_summary_beta_fit
127,0.8074375880209878,dpm_summary_beta_fit
128,0.8098455240024381,dpm_summary_beta_fit
129,0.8123064909251755,dpm_summary_beta_fit
130,0.8148211625797152,dpm_summary_beta_fit
131,0.817390210451146,dpm_summary_beta_fit
132,0.8200143030011188,dpm_summary_beta_fit
133,0.8226941055880886,dpm_summary_beta_fit
134,0.8254302822891717,dpm_summary_beta_fit
135,0.8282234887741325,dpm_summary_beta_fit
136,0.8310743809466227,dpm_summary_beta_fit
137,0.8339836076073125,dpm_summary_beta_fit
138,0.836951812538302,dpm_summary_beta_fit
139,0.8399796348263634,dpm_summary_beta_fit
140,0.8430677072510394,dpm_summary_beta_fit
141,0.8462166550849715,dpm_summary_beta_fit
142,0.849427097182561,dpm_summary_beta_fit
143,0.8526996464167585,dpm_summary_beta_fit
144,0.8560349052726446,dpm_summary_beta_fit
145,0.8594334682666726,dpm_summary_beta_fit
146,0.8628959220225197,dpm_summary_beta_fit
147,0.8664228423256073,dpm_summary_beta_fit
148,0.870014794326409,dpm_summary_beta_fit
149,0.8736723327755012,dpm_summary_beta_fit
150,0.877396000656647,dpm_summary_beta_fit
151,0.8811863284441938,dpm_summary_beta_fit
152,0.8850438343692324,dpm_summary_beta_fit
153,0.8889690217823979,dpm_summary_beta_fit
154,0.8929623803974833,dpm_summary_beta_fit
155,0.8970243839673375,dpm_summary_beta_fit
156,0.9011554907052761,dpm_summary_beta_fit
157,0.9053561413544978,dpm_summary_beta_fit
158,0.90962676008109,dpm_summary_beta_fit
159,0.9139677504562475,dpm_summary_beta_fit
160,0.918379497779319,dpm_summary_beta_fit
161,0.9228623659291463,dpm_summary_beta_fit
162,0.9274166979155148,dpm_summary_beta_fit
163,0.9320428129524357,dpm_summary_beta_fit
164,0.93674100697856,dpm_summary_beta_fit
165,0.9415115508574986,dpm_summary_beta_fit
166,0.9463546889550464,dpm_summary_beta_fit
167,0.9512706384869519,dpm_summary_beta_fit
168,0.9562595868314748,dpm_summary_beta_fit
169,0.9613216926422691,dpm_summary_beta_fit
170,0.9664570814083429,dpm_summary_beta_fit
171,0.9716658460753039,dpm_summary_beta_fit
172,0.976948044335506,dpm_summary_beta_fit
173,0.982303697312086,dpm_summary_beta_fit
174,0.9877327886997909,dpm_summary_beta_fit
175,0.9932352605002239,dpm_summary_beta_fit
176,0.9988110133090927,dpm_summary_beta_fit
177,1.0044599040055786,dpm_summary_beta_fit
178,1.0101817418093588,dpm_summary_beta_fit
179,1.0159762877607015,dpm_summary_beta_fit
180,1.0218432522060479,dpm_summary_beta_fit
181,1.0277822904942668,dpm_summary_beta_fit
182,1.0337930020120791,dpm_summary_beta_fit
183,1.0398749266480118,dpm_summary_beta_fit
184,1.046027541083273,dpm_summary_beta_fit
185,1.0522502564719407,dpm_summary_beta_fit
186,1.058542413930596,dpm_summary_beta_fit
187,1.06490328081533,dpm_summary_beta_fit
188,1.0713320473594914,dpm_summary_beta_fit
189,1.0778278210824048,dpm_summary_beta_fit
190,1.084389622975058,dpm_summary_beta_fit
191,1.091016381779126,dpm_summary_beta_fit
192,1.0977069284133953,dpm_summary_beta_fit
193,1.10445998985703,dpm_summary_beta_fit
194,1.1112741825769796,dpm_summary_beta_fit
195,1.1181480051458839,dpm_summary_beta_fit
196,1.1250798302035068,dpm_summary_beta_fit
197,1.1320678956195311,dpm_summary_beta_fit
198,1.1391102953698018,dpm_summary_beta_fit
199,1.146204967575031,dpm_summary_beta_fit
200,1.1533496836913597,dpm_summary_beta_fit
201,1.1605420342922186,dpm_summary_beta_fit
202,1.1677794145398885,dpm_summary_beta_fit
203,1.175059007038467,dpm_summary_beta_fit
204,1.1823777627069092,dpm_summary_beta_fit
205,1.1897323786829928,dpm_summary_beta_fit
206,1.197119273328507,dpm_summary_beta_fit
207,1.2045345573366975,dpm_summary_beta_fit
208,1.2119740000051358,dpm_summary_beta_fit
209,1.219432989725,dpm_summary_beta_fit
210,1.2269064875494546,dpm_summary_beta_fit
211,1.2343889716797518,dpm_summary_beta_fit
212,1.241874370808097,dpm_summary_beta_fit
213,1.2493559829541963,dpm_summary_beta_fit
214,1.2568263756235492,dpm_summary_beta_fit
215,1.2642772609971005,dpm_summary_beta_fit
216,1.2716993380085866,dpm_summary_beta_fit
217,1.27908208800452,dpm_summary_beta_fit
218,1.2864135062002127,dpm_summary_beta_fit
219,1.2936797399710651,dpm_summary_beta_fit
220,1.3008645852686251,dpm_summary_beta_fit
221,1.3079487682772133,dpm_summary_beta_fit
222,1.3149088694114723,dpm_summary_beta_fit
223,1.3217156332677593,dpm_summary_beta_fit
224,1.3283311338137935,dpm_summary_beta_fit
225,1.3347035609860745,dpm_summary_beta_fit
226,1.3407563262634896,dpm_summary_beta_fit
227,1.3463600289641415,dpm_summary_beta_fit
228,1.3512218249390329,dpm_summary_beta_fit
